Peak WSPG,Draft Year,Name,Pick,Draft Age,Year,Position,Height (cm),Weight (lbs),Height/Weight Ratio,Games,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Offensive Win Shares,Defensive Win Shares,Win Shares
11.24699454,2011,Kyrie Irving,1,19.25,2011,Guard,188,180,1.044444444,11,5,9.5,0.529,3.4,5.9,0.569,1.6,3.5,0.462,5.8,6.5,0.901,3.4,4.3,1.5,0.5,17.5,8.31,0.697,0.615,0.375,0.683,1.8,0.6,2.4
2.91969697,2011,Derrick Williams,2,20.08333333,2011,Forward,203,235,0.863829787,38,5.9,10,0.595,4.8,8.1,0.601,1.1,1.9,0.568,6.5,8.7,0.746,8.3,1.1,1,0.7,19.5,7.99,0.69,0.65,0.195,0.871,6,1.9,7.9
7.122065728,2011,Tristan Thompson,4,20.25,2011,Forward,203,225,0.902222222,36,4.8,8.8,0.546,4.8,8.8,0.546,0,0,0,3.5,7.3,0.487,7.8,1.3,0.9,2.4,13.1,7.96,0.536,0.546,0,0.829,2.8,2.7,5.5
1.547169811,2011,Brandon Knight,8,19.5,2011,Guard,190,185,1.027027027,38,5.7,13.5,0.423,3.4,7.4,0.461,2.3,6.1,0.377,3.6,4.5,0.795,4,4.2,0.7,0.2,17.3,8.91,0.553,0.508,0.45,0.333,3.6,1.8,5.3
8.310810811,2011,Kemba Walker,9,21.08333333,2011,Guard,185,172,1.075581395,41,7.7,18,0.428,5.9,12.5,0.471,1.8,5.5,0.33,6.3,7.7,0.819,5.4,4.5,1.9,0.2,23.5,10.44,0.543,0.478,0.307,0.426,7.3,2.4,9.7
0.780952381,2011,Jimmer Fredette,10,22.33333333,2011,Guard,188,195,0.964102564,37,9.4,20.7,0.452,6,12.2,0.491,3.4,8.5,0.396,6.8,7.6,0.894,3.4,4.3,1.3,0,28.9,5.76,0.594,0.533,0.409,0.369,6.6,1.9,8.5
8.339574468,2011,Klay Thompson,11,21.33333333,2011,Guard,198,200,0.99,34,7.1,16.2,0.436,4.2,9,0.466,2.9,7.2,0.398,4.6,5.4,0.838,5.2,3.7,1.6,0.9,21.6,6.81,0.574,0.525,0.446,0.336,3.7,2.2,5.8
2.513868613,2011,Alec Burks,12,19.91666667,2011,Guard,198,195,1.015384615,38,6.6,14.1,0.469,5.9,11.6,0.508,0.7,2.5,0.292,6.6,7.9,0.825,6.5,2.9,1.1,0.3,20.5,5.61,0.574,0.495,0.179,0.564,5.6,1,6.6
4.154185022,2011,Markieff Morris,13,21.75,2011,Center,208,245,0.848979592,38,5.1,8.7,0.589,4.5,7.2,0.625,0.7,1.6,0.424,2.7,4,0.673,8.3,1.4,0.8,1.1,13.6,7.62,0.642,0.627,0.178,0.462,3.6,2.4,6
4.589300412,2011,Marcus Morris,14,21.75,2011,Forward,206,235,0.876595745,38,6.3,11.1,0.57,5.6,9.1,0.62,0.7,2,0.342,3.9,5.7,0.688,7.6,1.6,0.8,0.6,17.2,7.62,0.625,0.601,0.181,0.511,4.9,2.3,7.2
14.91870968,2011,Kawhi Leonard,15,20,2011,Forward,201,225,0.893333333,36,5.9,13.2,0.444,5.2,10.8,0.478,0.7,2.4,0.291,3.1,4,0.759,10.6,2.5,1.4,0.6,15.5,6.36,0.512,0.471,0.181,0.305,3.6,3.2,6.8
6.207476636,2011,Nikola Vucevic,16,20.66666667,2011,Forward,208,220,0.945454545,34,6.3,12.5,0.505,5.5,10.1,0.542,0.9,2.4,0.349,3.6,4.8,0.755,10.3,1.6,0.5,1.4,17.1,7.96,0.578,0.539,0.195,0.383,4.2,2.4,6.6
2.220833333,2011,Iman Shumpert,17,21,2011,Guard,196,212,0.924528302,31,5.7,14.1,0.406,4.4,9.2,0.474,1.4,4.9,0.278,4.5,5.6,0.806,5.9,3.5,2.7,0.2,17.3,5.68,0.517,0.454,0.346,0.401,2.8,2.1,4.9
0,2011,Chris Singleton,18,21.58333333,2011,Forward,206,220,0.936363636,28,4.4,10.2,0.434,3.2,6.8,0.466,1.3,3.4,0.368,3,4.5,0.667,6.8,1.2,2,1.5,13.1,6.45,0.531,0.495,0.332,0.441,1.5,2.4,3.9
7.175,2011,Tobias Harris,19,18.91666667,2011,Forward,203,226,0.898230088,34,5.4,11.8,0.46,4.8,9.6,0.497,0.7,2.2,0.303,3.8,5,0.753,7.3,1.3,0.7,0.9,15.3,8.73,0.54,0.489,0.189,0.423,2.9,1.5,4.4
0,2011,Nolan Smith,21,22.91666667,2011,Guard,188,185,1.016216216,37,7,15.4,0.458,5.5,10.9,0.501,1.5,4.4,0.35,5.1,6.2,0.813,4.5,5.1,1.2,0.1,20.6,8.31,0.564,0.508,0.287,0.405,5.1,2.3,7.4
6.500900901,2011,Kenneth Faried,22,21.58333333,2011,Forward,203,228,0.890350877,35,6.7,10.7,0.623,6.7,10.7,0.623,0,0,0,4,6.9,0.577,14.5,1.1,1.9,2.3,17.3,-3.13,0.619,0.623,0,0.644,4.7,3.6,8.3
5.400961538,2011,Reggie Jackson,24,21.16666667,2011,Guard,190,208,0.913461538,34,6.4,12.8,0.503,4.4,7.8,0.556,2.1,5,0.42,3.2,4,0.796,4.3,4.5,1.1,0.5,18.2,7.31,0.618,0.585,0.389,0.315,5,0.6,5.6
1.290740741,2011,MarShon Brooks,25,22.41666667,2011,Guard,196,200,0.98,32,8.6,17.8,0.483,6.5,11.7,0.559,2.1,6.2,0.34,5.3,6.8,0.772,7,2.5,1.5,1.2,24.6,6.44,0.584,0.542,0.345,0.384,4.8,1.2,5.9
0,2011,Jordan Hamilton,26,20.66666667,2011,Guard,201,220,0.913636364,36,6.8,15.3,0.44,4.3,8.8,0.481,2.5,6.5,0.385,2.6,3.4,0.779,7.7,2.1,0.9,0.6,18.6,7.96,0.55,0.522,0.424,0.221,4,2.7,6.7
0,2011,JaJuan Johnson,27,22.33333333,2011,Forward,208,221,0.941176471,34,7.6,15.3,0.494,7.1,13.8,0.516,0.4,1.5,0.294,5,6.1,0.809,8.6,1,0.9,2.3,20.5,8.69,0.564,0.509,0.098,0.402,4.3,2.9,7.2
1.107172996,2011,Norris Cole,28,22.66666667,2011,Guard,188,170,1.105882353,36,7,15.9,0.439,5.6,11.8,0.473,1.4,4.1,0.342,6.3,7.4,0.853,5.8,5.3,2.2,0.1,21.7,1.74,0.558,0.483,0.26,0.465,5.6,2.7,8.3
3.388429752,2011,Cory Joseph,29,19.83333333,2011,Guard,190,185,1.027027027,36,3.8,8.9,0.422,2.3,5.4,0.429,1.4,3.5,0.413,1.4,2,0.699,3.6,3,1,0.3,10.4,7.96,0.526,0.503,0.391,0.227,2.2,2.2,4.4
11.29045226,2011,Jimmy Butler,30,21.75,2011,Guard,201,220,0.913636364,37,5.1,10.3,0.49,4.5,8.8,0.515,0.5,1.6,0.345,5.1,6.5,0.783,6.1,2.3,1.4,0.4,15.7,8.51,0.587,0.516,0.152,0.628,4.8,1.5,6.3
0,2011,Justin Harper,32,21.83333333,2011,Forward,208,225,0.924444444,37,6.6,12.4,0.534,4.5,7.8,0.585,2.1,4.6,0.448,2.5,3.2,0.797,6.9,1.2,0.6,1.2,17.9,2.79,0.642,0.618,0.375,0.257,4.8,2.3,7.1
2.923770492,2011,Kyle Singler,33,23.08333333,2011,Forward,203,230,0.882608696,37,5.9,13.8,0.43,4.2,8.5,0.497,1.7,5.2,0.321,3.4,4.2,0.806,6.8,1.6,0.9,0.3,16.9,8.31,0.536,0.491,0.379,0.305,3.7,2.5,6.1
2.024691358,2011,Shelvin Mack,34,21.16666667,2011,Guard,190,215,0.88372093,38,5.3,13,0.408,3,6.5,0.462,2.3,6.5,0.354,3.2,4.1,0.769,4.5,3.4,0.8,0.1,16,5.02,0.537,0.496,0.499,0.316,3.3,1.6,5
