Peak WSPG,Draft Year,Name,Pick,Draft Age,Year,Position,Height (cm),Weight (lbs),Height/Weight Ratio,Games,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Offensive Win Shares,Defensive Win Shares,Win Shares
8.714644351,1996,Shareef Abdur-Rahim,3,19.5,1996,Forward,206,225,0.915555556,28,7.4,14.2,0.518,7.1,13.5,0.525,0.3,0.8,0,6.1,8.9,0.683,8.4,1,1.9,1.3,21.1,6.44,0.571,0.528,0.053,0.626,3.1,2.3,5.4
5.4325,1996,Antoine Walker,6,19.83333333,1996,Forward,203,224,0.90625,36,6.3,13.7,0.463,6.1,12.3,0.493,0.3,1.3,0.188,2.3,3.6,0.631,8.4,2.9,1.7,0.7,15.2,10.06,0.494,0.473,0.098,0.264,0.9,3.8,4.7
1.274324324,1996,John Wallace,18,22.33333333,1996,Forward,203,225,0.902222222,38,7.7,15.8,0.489,6.7,13.4,0.501,1,2.3,0.42,5.8,7.7,0.763,8.7,2.4,1.2,1.7,22.2,11.35,0.573,0.52,0.147,0.486,4.5,3.5,8
0.535947712,1996,Walter McCarty,19,22.33333333,1996,Forward,208,230,0.904347826,36,4.2,7.8,0.543,3.4,6.1,0.564,0.8,1.7,0.467,2.1,2.9,0.721,5.7,2.6,1.2,1.4,11.3,10.06,0.618,0.593,0.214,0.371,2.6,3.8,6.4
0,1996,Dontae' Jones,21,21,1996,Forward,203,220,0.922727273,33,6,12.7,0.474,5.3,10.2,0.516,0.7,2.5,0.296,1.9,2.6,0.744,6.8,1.9,1.1,0.9,14.7,8.72,0.527,0.502,0.194,0.206,1.7,1.7,3.5
6.63062201,1996,Jerome Williams,26,23.08333333,1996,Forward,206,206,1,37,4,6.8,0.588,3.9,6.6,0.601,0,0.2,0,2.3,3.6,0.639,8.8,1.4,1.9,0.4,10.3,9.83,0.607,0.59,0.028,0.532,2.4,3.4,5.8
1.490909091,1996,Brian Evans,27,22.75,1996,Forward,203,220,0.922727273,31,6.8,15.3,0.447,4.8,10.2,0.475,2,5.1,0.392,5.5,6.5,0.847,7.1,4.1,1.4,0.6,21.2,10.87,0.577,0.513,0.333,0.428,3.7,1.8,5.5
0,1996,Mark Hendrickson,31,22,1996,Forward,206,220,0.936363636,23,5.5,9.7,0.572,5.2,8.3,0.623,0.3,1.3,0.258,5.1,7.2,0.709,9.5,1.6,0.9,0.2,16.5,5.86,0.631,0.59,0.14,0.743,2.8,1,3.8
0,1996,Jason Sasser,41,22.41666667,1996,Forward,201,225,0.893333333,31,6.5,14.2,0.458,5.5,11,0.503,1,3.3,0.307,5.5,7.5,0.726,7.8,2.9,0.7,0.1,19.5,2.11,0.548,0.493,0.229,0.531,2.6,2,4.6
0,1996,Ben Davis,43,23.5,1996,Forward,206,240,0.858333333,33,5.2,9.5,0.546,5.2,9.5,0.546,0,0,0,3.8,5.6,0.69,9.5,0.7,0.6,0.6,14.2,8.42,0.586,0.546,0,0.588,2.6,1.9,4.5
