Peak WSPG,Draft Year,Name,Pick,Draft Age,Year,Position,Height (cm),Weight (lbs),Height/Weight Ratio,Games,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Offensive Win Shares,Defensive Win Shares,Win Shares
10.44378109,1996,Allen Iverson,1,21,1996,Guard,183,165,1.109090909,37,8.4,17.6,0.48,6.1,11.1,0.546,2.4,6.4,0.366,5.8,8.6,0.678,3.8,4.7,3.4,0.4,25,9.83,0.578,0.547,0.366,0.488,5.1,3.5,8.6
8.670491803,1996,Stephon Marbury,4,19.33333333,1996,Guard,188,180,1.044444444,36,6.5,14.3,0.457,4.1,7.7,0.533,2.4,6.6,0.37,3.4,4.6,0.738,3.1,4.5,1.8,0.1,18.9,12.71,0.574,0.543,0.463,0.319,3.5,0.8,4.3
11.50815451,1996,Ray Allen,5,20.91666667,1996,Guard,196,205,0.956097561,35,8.3,17.7,0.472,5.1,10.6,0.477,3.3,7.1,0.466,3.4,4.2,0.81,6.5,3.3,1.7,0.5,23.4,8.19,0.595,0.566,0.4,0.238,5,3.3,8.3
4.935185185,1996,Kerry Kittles,8,22,1996,Guard,196,179,1.094972067,30,7.2,15.8,0.455,4.6,9.4,0.489,2.6,6.4,0.404,3.4,4.8,0.71,7.1,3.5,2.4,0.4,20.4,11.46,0.564,0.537,0.406,0.305,3.2,2.4,5.6
6.125301205,1996,Steve Nash,15,22.33333333,1996,Guard,190,195,0.974358974,29,5.7,13.1,0.43,3.5,6.8,0.51,2.2,6.3,0.344,3.5,3.9,0.894,3.6,6,1.3,0,17,4.09,0.566,0.513,0.48,0.297,2.8,1.6,4.4
1.289308176,1996,Tony Delk,16,22.41666667,1996,Guard,185,189,0.978835979,36,6.4,12.9,0.494,3.8,7.1,0.535,2.6,5.8,0.443,2.4,3.1,0.8,4.2,1.8,1.9,0.4,17.8,10.06,0.619,0.594,0.453,0.237,4,2.4,6.4
3.656756757,1996,Derek Fisher,24,21.83333333,1996,Guard,185,200,0.925,30,4.3,10.4,0.41,2.6,6.1,0.429,1.7,4.3,0.385,4.2,5.6,0.746,5.2,5.1,1.9,0.1,14.5,-1.03,0.554,0.49,0.417,0.542,2.1,2.1,4.2
4.303546099,1996,Jeff McInnis,37,21.66666667,1996,Guard,193,190,1.015789474,31,5.7,13.2,0.435,3.6,7.7,0.466,2.2,5.5,0.392,2.8,3.5,0.8,2.6,5.5,1.2,0,16.5,11.42,0.554,0.517,0.418,0.269,2.4,0.9,3.3
1.482978723,1996,Randy Livingston,42,21.16666667,1996,Guard,193,209,0.923444976,13,1.8,6.4,0.289,1.8,4.8,0.365,0.1,1.5,0.05,2.3,2.9,0.789,2.3,5.3,2.1,0.2,6.1,5.14,0.391,0.295,0.241,0.458,-0.3,0.5,0.2
0,1996,Marcus Brown,46,22.16666667,1996,Guard,190,185,1.027027027,29,8.8,18.5,0.474,6.2,12.4,0.499,2.6,6,0.423,6.4,7.6,0.841,4.8,4.1,2.2,0.3,26.4,-3.01,0.599,0.543,0.326,0.41,4.7,1.8,6.5
0.396774194,1996,Reggie Geary,56,22.83333333,1996,Guard,188,187,1.005347594,33,3.3,7.6,0.432,1.9,4,0.474,1.4,3.5,0.385,1.9,2.6,0.733,3.6,7,2,0.7,9.8,8.42,0.557,0.522,0.468,0.344,1.7,2.2,3.8
0.82,1996,Drew Barry,57,23.33333333,1996,Guard,196,191,1.02617801,36,4.1,10.2,0.406,2,4.4,0.456,2.1,5.8,0.368,2.9,3.7,0.789,4.6,6.6,1.8,0.4,13.3,12.71,0.558,0.511,0.569,0.362,2.3,1.1,3.4
7.460944206,1997,Chauncey Billups,3,20.75,1997,Guard,190,202,0.940594059,29,5.2,12.7,0.413,2.7,6.2,0.425,2.6,6.4,0.401,6.1,7.1,0.854,4.9,4.8,2.1,0.1,19.1,6.24,0.596,0.515,0.508,0.56,3.7,2.1,5.8
5.765065502,1997,Antonio Daniels,4,22.25,1997,Guard,193,195,0.98974359,32,8.7,15.9,0.547,7.3,12.7,0.576,1.4,3.3,0.433,5.1,6.6,0.777,2.8,6.8,2.3,0.3,24,1.56,0.628,0.591,0.204,0.414,5.4,1.5,6.9
2.78128655,1997,Brevin Knight,16,21.58333333,1997,Guard,178,173,1.028901734,30,4.6,11.4,0.408,3.1,7.7,0.407,1.5,3.7,0.409,5.5,6.6,0.834,3.7,7.8,2.8,0.1,16.3,9.05,0.561,0.474,0.323,0.584,2.6,2.6,5.2
0,1997,Anthony Parker,21,22,1997,Guard,198,215,0.920930233,21,5.2,12.2,0.424,3.8,7.5,0.51,1.4,4.8,0.29,4.8,6.7,0.721,5.3,3.4,1.8,0.5,16.6,3.39,0.538,0.481,0.389,0.545,1.7,1.4,3.1
0,1997,Ed Gray,22,21.75,1997,Guard,190,210,0.904761905,26,8.6,18.7,0.461,7.2,13.8,0.517,1.5,4.8,0.302,6.1,7.7,0.79,4,2.2,1.7,0.2,24.8,10.03,0.554,0.5,0.259,0.412,3.1,1.4,4.5
1.202094241,1997,Bobby Jackson,23,24.25,1997,Guard,185,185,1,35,5.5,12.4,0.441,4.6,9.6,0.476,0.9,2.8,0.32,3.5,4.4,0.786,6.1,4,2.1,0.2,15.3,9.2,0.528,0.477,0.224,0.356,2.1,3.4,5.4
2.733333333,1997,Charles Smith,26,21.83333333,1997,Guard,193,194,0.994845361,33,6.2,13.5,0.457,4.1,7.9,0.519,2,5.5,0.368,3.2,4.2,0.748,5.5,2.8,1.5,0.8,17.5,3.67,0.566,0.533,0.41,0.313,3.2,2.3,5.4
