Ln Peak WS,Name,Draft Year,Pick,Draft Age,Position,Height (cm),Weight (lbs),Games,Games Started Percentage,Minutes Played,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Total Rebound Percentage,Assist Percentage,Block Percentage,Turnover Percentage,Usage Rate,Offensive Win Shares,Defensive Win Shares,Win Shares,Win Shares Per 40 Minutes,MM Games Played,MM Final Four,MM Champ,MM Games Started Percentage,MM Minutes Played,MM Field Goals Per Game,MM Field Goal Attempts Per Game,MM Field Goal Percentage,MM 2-Point Field Goals Per Game,MM 2-Point Field Goal Attempts Per Game,MM 2-Point Field Goal Percentage,MM 3-Point Field Goals Per Game,MM 3-Point Field Goal Attempts Per Game,MM 3-Point Field Goal Percentage,MM Free Throws Per Game,MM Free Throw Attempts Per Game,MM Free Throw Percentage,MM Offensive Rebounds Per Game,MM Defensive Rebounds Per Game,MM Total Rebounds Per Game,MM Assists Per Game,MM Steals Per Game,MM Blocks Per Game,MM Turnovers Per Game,MM Personal Fouls Per Game,MM Points Per Game,MM Points Delta,MM Rebounds Delta,MM Assists Delta,MM Steals Delta,MM Blocks Delta,MM Points Delta Squared,MM Rebounds Delta Squared,MM Assists Delta Squared,MM Steals Delta Squared,MM Blocks Delta Squared
1.482960473,Derrick White,2017,29,22.91666667,Guard,196,193,34,0.941176471,32.8,6,11.9,0.507,4.4,7.6,0.569,1.7,4.2,0.396,4.4,5.4,0.813,1,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,6,0.627,0.578,0.356,0.45,7,28.6,4.9,14.2,25.3,4.5,1.4,5.9,0.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.829065428,Wesley Iwundu,2017,33,22.5,Forward,201,205,35,1,31.4,4.3,9,0.481,3.4,6.5,0.52,0.9,2.4,0.376,3.5,4.5,0.767,1,5.3,6.3,3.5,1,0.3,2.3,1.8,13,10.48,0.585,0.532,0.271,0.506,12.3,22.9,1.2,17.2,22.3,2.6,1.8,4.4,0.16,2,0,0,0.5,31,5.5,9.5,0.578947,3.5,6,0.583333,2,3.5,0.571429,8.5,9.5,0.894737,0.5,4.5,5,5,1,0,1.5,3.5,21.5,8.5,-1.3,1.5,0,-0.3,72.25,1.69,2.25,0,0.09
0.024692613,Semi Ojeleye,2017,37,22.5,Forward,203,230,35,1,34.1,6,12.3,0.487,3.9,7.4,0.529,2.1,4.9,0.424,4.9,6.3,0.785,2.3,4.6,6.9,1.5,0.4,0.4,1.4,1.8,19,4.45,0.621,0.572,0.399,0.508,11.9,9.3,1.6,8.5,25.9,5.5,2.2,7.7,0.257,1,0,0,1,39,8,20,0.4,6,14,0.428571,2,6,0.333333,6,6,1,3,7,10,0,1,0,2,3,24,5,3.1,-1.5,0.6,-0.4,25,9.61,2.25,0.36,0.16
0.657215171,Jordan Bell,2017,38,22.41666667,Forward,201,190,39,0.974358974,28.8,4.4,6.9,0.636,4.3,6.5,0.659,0.1,0.4,0,2.1,3,0.701,2.9,5.9,8.8,1.8,1.3,2.3,1.9,1.7,10.9,8.38,0.658,0.641,0.052,0.435,17.6,11.4,8.5,18.8,18,3.2,3,6.2,0.222,5,1,0,0.2,31.4,5.4,7.4,0.72973,5.4,7.4,0.72973,0,0,0,1.8,3.2,0.5625,5.6,7.6,13.2,1.6,0.8,3,2.4,1.2,12.6,1.7,4.4,-0.2,-0.5,0.7,2.89,19.36,0.04,0.25,0.49
0.521724914,Damyean Dotson,2017,44,23.08333333,Guard,196,209,32,1,34.3,6.3,13.4,0.47,2.9,5.8,0.505,3.4,7.6,0.443,1.4,1.7,0.83,1.5,5.4,6.9,1.1,0.9,0.2,1,1.7,17.4,3.42,0.611,0.595,0.567,0.123,11.5,6.9,0.6,6.8,23.1,3.9,2,5.9,0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.067252227,Kris Dunn,2016,5,22.25,Guard,190,205,33,0.96969697,33,5.6,12.5,0.448,4.3,9,0.477,1.3,3.4,0.372,4,5.8,0.695,1.1,4.2,5.3,6.2,2.5,0.6,3.5,2.8,16.4,8.46,0.541,0.499,0.275,0.462,9,41.8,1.9,18.8,28,2.2,2.3,4.5,0.166,2,0,0,0.5,26.5,7.5,14.5,0.517241,4,9.5,0.421053,3.5,5,0.7,4,5,0.8,0.5,3,3.5,3.5,1.5,0,3,4,22.5,6.1,-1.8,-2.7,-1,-0.6,37.21,3.24,7.29,1,0.36
1.212136115,Buddy Hield,2016,6,23.5,Guard,193,209,37,1,35.4,8.1,16.2,0.501,4.2,7.5,0.552,4,8.7,0.457,4.8,5.4,0.88,1.2,4.5,5.7,2,1.1,0.5,3.1,2.1,25,11.14,0.665,0.623,0.536,0.333,8.8,12.7,1.4,14,30.2,5.6,2,7.6,0.232,5,1,0,0.2,37.6,8.4,15.8,0.531646,4.4,6.2,0.709677,4,9.6,0.416667,4.4,5.6,0.785714,2.2,4.4,6.6,1.6,0.8,0.4,3.6,2,25.2,0.2,0.9,-0.4,-0.3,-0.1,0.04,0.81,0.16,0.09,0.01
0.80485117,Taurean Prince,2016,12,22.25,Forward,201,215,34,1,30.6,5.5,12.7,0.432,3.9,8.4,0.469,1.6,4.3,0.361,3.3,4.3,0.774,2.4,3.7,6.1,2.3,1.3,0.7,2.7,2.5,15.9,9.76,0.537,0.493,0.339,0.337,12,14.8,2.7,15.3,28.1,2.4,1.4,3.8,0.148,1,0,0,1,34,12,24,0.5,8,17,0.470588,4,7,0.571429,0,0,0,2,2,4,3,1,0,1,2,28,12.1,-2.1,0.7,-0.3,-0.7,146.41,4.41,0.49,0.09,0.49
0.979204557,Denzel Valentine,2016,14,22.58333333,Guard,196,220,31,0.967741935,33,6.6,14.3,0.462,3.3,6.8,0.481,3.4,7.5,0.444,2.6,3.1,0.853,0.8,6.7,7.5,7.8,1,0.2,2.7,1.7,19.2,6.94,0.608,0.579,0.527,0.214,12.8,45.8,0.7,14.8,28.4,5,2.2,7.3,0.284,1,0,0,1,37,5,13,0.384615,2,5,0.4,3,8,0.375,0,0,0,2,4,6,12,2,0,6,4,13,-6.2,-1.5,4.2,1,-0.2,38.44,2.25,17.64,1,0.04
1.248468044,Caris LeVert,2016,20,21.83333333,Guard,201,200,15,0.933333333,30.9,5.5,10.8,0.506,3.5,6.5,0.546,1.9,4.3,0.446,3.6,4.5,0.794,0.6,4.7,5.3,4.9,1,0.2,1.7,1.2,16.5,7.92,0.636,0.596,0.401,0.42,10.6,33.3,0.7,11.4,25.6,2.2,0.7,2.8,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
