Peak WSPG,Draft Year,Name,Pick,Draft Age,Year,Position,Height (cm),Weight (lbs),Height/Weight Ratio,Games,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Offensive Win Shares,Defensive Win Shares,Win Shares
10.44378109,1996,Allen Iverson,1,21,1996,Guard,183,165,1.109090909,37,8.4,17.6,0.48,6.1,11.1,0.546,2.4,6.4,0.366,5.8,8.6,0.678,3.8,4.7,3.4,0.4,25,9.83,0.578,0.547,0.366,0.488,5.1,3.5,8.6
9.61547619,1996,Marcus Camby,2,22.25,1996,Center,211,220,0.959090909,33,7.8,16.3,0.477,7.8,16,0.484,0,0.2,0,4.9,7.1,0.7,8.2,1.8,1,3.9,20.5,8.92,0.521,0.477,0.015,0.434,2.2,5.9,8.1
8.714644351,1996,Shareef Abdur-Rahim,3,19.5,1996,Forward,206,225,0.915555556,28,7.4,14.2,0.518,7.1,13.5,0.525,0.3,0.8,0,6.1,8.9,0.683,8.4,1,1.9,1.3,21.1,6.44,0.571,0.528,0.053,0.626,3.1,2.3,5.4
8.670491803,1996,Stephon Marbury,4,19.33333333,1996,Guard,188,180,1.044444444,36,6.5,14.3,0.457,4.1,7.7,0.533,2.4,6.6,0.37,3.4,4.6,0.738,3.1,4.5,1.8,0.1,18.9,12.71,0.574,0.543,0.463,0.319,3.5,0.8,4.3
11.50815451,1996,Ray Allen,5,20.91666667,1996,Guard,196,205,0.956097561,35,8.3,17.7,0.472,5.1,10.6,0.477,3.3,7.1,0.466,3.4,4.2,0.81,6.5,3.3,1.7,0.5,23.4,8.19,0.595,0.566,0.4,0.238,5,3.3,8.3
5.4325,1996,Antoine Walker,6,19.83333333,1996,Forward,203,224,0.90625,36,6.3,13.7,0.463,6.1,12.3,0.493,0.3,1.3,0.188,2.3,3.6,0.631,8.4,2.9,1.7,0.7,15.2,10.06,0.494,0.473,0.098,0.264,0.9,3.8,4.7
2.95026455,1996,Lorenzen Wright,7,20.58333333,1996,Center,211,225,0.937777778,30,6.9,12.7,0.542,6.9,12.7,0.543,0,0,0,3.6,5.6,0.645,10.4,1.2,1.3,2,17.4,6.58,0.566,0.542,0.003,0.442,2.7,3.7,6.5
4.935185185,1996,Kerry Kittles,8,22,1996,Guard,196,179,1.094972067,30,7.2,15.8,0.455,4.6,9.4,0.489,2.6,6.4,0.404,3.4,4.8,0.71,7.1,3.5,2.4,0.4,20.4,11.46,0.564,0.537,0.406,0.305,3.2,2.4,5.6
3.87106599,1996,Samaki Walker,9,20.33333333,1996,Center,206,240,0.858333333,21,5.9,9.9,0.599,5.9,9.8,0.602,0,0,0,3.3,5.4,0.614,7.5,1.1,0.8,2,15.1,9.84,0.609,0.599,0.005,0.551,2.1,1.1,3.2
0,1996,Erick Dampier,10,20.91666667,1996,Center,211,265,0.796226415,34,5.7,10.4,0.551,5.7,10.4,0.551,0,0,0,3.1,5,0.612,9.3,2.3,0.5,3.1,14.5,8.72,0.568,0.551,0,0.48,2.7,2.9,5.6
0,1996,Todd Fuller,11,21.91666667,1996,Center,211,255,0.82745098,31,7.3,14.4,0.506,6.7,13,0.52,0.5,1.4,0.372,5.9,7.4,0.799,9.9,1.3,0.3,1.8,20.9,7.98,0.586,0.524,0.097,0.515,3.5,2.6,6.1
3.075,1996,Vitaly Potapenko,12,21.25,1996,Center,208,280,0.742857143,26,7.6,12.6,0.604,7.6,12.4,0.612,0,0.2,0,5.4,7.6,0.716,7.4,1.4,0.4,0.7,20.7,-0.49,0.638,0.605,0.018,0.601,4,1.2,5.2
6.125301205,1996,Steve Nash,15,22.33333333,1996,Guard,190,195,0.974358974,29,5.7,13.1,0.43,3.5,6.8,0.51,2.2,6.3,0.344,3.5,3.9,0.894,3.6,6,1.3,0,17,4.09,0.566,0.513,0.48,0.297,2.8,1.6,4.4
0,1996,Tony Delk,16,22.41666667,1996,Guard,185,189,0.978835979,36,6.4,12.9,0.494,3.8,7.1,0.535,2.6,5.8,0.443,2.4,3.1,0.8,4.2,1.8,1.9,0.4,17.8,10.06,0.619,0.594,0.453,0.237,4,2.4,6.4
0,1996,John Wallace,18,22.33333333,1996,Forward,203,225,0.902222222,38,7.7,15.8,0.489,6.7,13.4,0.501,1,2.3,0.42,5.8,7.7,0.763,8.7,2.4,1.2,1.7,22.2,11.35,0.573,0.52,0.147,0.486,4.5,3.5,8
0,1996,Walter McCarty,19,22.33333333,1996,Forward,208,230,0.904347826,36,4.2,7.8,0.543,3.4,6.1,0.564,0.8,1.7,0.467,2.1,2.9,0.721,5.7,2.6,1.2,1.4,11.3,10.06,0.618,0.593,0.214,0.371,2.6,3.8,6.4
0,1996,Dontae' Jones,21,21,1996,Forward,203,220,0.922727273,33,6,12.7,0.474,5.3,10.2,0.516,0.7,2.5,0.296,1.9,2.6,0.744,6.8,1.9,1.1,0.9,14.7,8.72,0.527,0.502,0.194,0.206,1.7,1.7,3.5
0,1996,Roy Rogers,22,22.83333333,1996,Center,208,235,0.885106383,32,5.8,11.1,0.524,5.8,11.1,0.525,0,0,0,1.9,3.1,0.622,9.3,0.9,0.7,4.9,13.5,6.13,0.539,0.524,0.003,0.276,1.7,3.4,5.1
3.656756757,1996,Derek Fisher,24,21.83333333,1996,Guard,185,200,0.925,30,4.3,10.4,0.41,2.6,6.1,0.429,1.7,4.3,0.385,4.2,5.6,0.746,5.2,5.1,1.9,0.1,14.5,-1.03,0.554,0.49,0.417,0.542,2.1,2.1,4.2
6.63062201,1996,Jerome Williams,26,23.08333333,1996,Forward,206,206,1,37,4,6.8,0.588,3.9,6.6,0.601,0,0.2,0,2.3,3.6,0.639,8.8,1.4,1.9,0.4,10.3,9.83,0.607,0.59,0.028,0.532,2.4,3.4,5.8
0,1996,Brian Evans,27,22.75,1996,Forward,203,220,0.922727273,31,6.8,15.3,0.447,4.8,10.2,0.475,2,5.1,0.392,5.5,6.5,0.847,7.1,4.1,1.4,0.6,21.2,10.87,0.577,0.513,0.333,0.428,3.7,1.8,5.5
0,1996,Travis Knight,29,21.75,1996,Center,213,235,0.906382979,34,3.7,7.1,0.521,3.7,7.1,0.521,0,0,0,1.7,2.5,0.694,9.3,2.1,0.7,2,9.1,8.19,0.551,0.521,0,0.351,1.4,4.4,5.8
3.125966851,1996,Othella Harrington,30,22.41666667,1996,Center,206,235,0.876595745,37,4.4,7.8,0.559,4.4,7.7,0.563,0,0.1,0,3.5,4.7,0.741,6.9,1.2,0.8,1.6,12.2,9.83,0.608,0.559,0.007,0.604,2.9,3.7,6.6
0,1996,Mark Hendrickson,31,22,1996,Forward,206,220,0.936363636,23,5.5,9.7,0.572,5.2,8.3,0.623,0.3,1.3,0.258,5.1,7.2,0.709,9.5,1.6,0.9,0.2,16.5,5.86,0.631,0.59,0.14,0.743,2.8,1,3.8
4.303546099,1996,Jeff McInnis,37,21.66666667,1996,Guard,193,190,1.015789474,31,5.7,13.2,0.435,3.6,7.7,0.466,2.2,5.5,0.392,2.8,3.5,0.8,2.6,5.5,1.2,0,16.5,11.42,0.554,0.517,0.418,0.269,2.4,0.9,3.3
0,1996,Steve Hamer,38,22.58333333,1996,Center,213,245,0.869387755,29,6.4,11.2,0.575,6.4,11.2,0.575,0,0,0,5.3,8.7,0.615,9.4,1,0.4,1.3,18.2,9.2,0.595,0.575,0,0.775,3.7,1.7,5.4
0,1996,Jason Sasser,41,22.41666667,1996,Forward,201,225,0.893333333,31,6.5,14.2,0.458,5.5,11,0.503,1,3.3,0.307,5.5,7.5,0.726,7.8,2.9,0.7,0.1,19.5,2.11,0.548,0.493,0.229,0.531,2.6,2,4.6
0,1996,Randy Livingston,42,21.16666667,1996,Guard,193,209,0.923444976,13,1.8,6.4,0.289,1.8,4.8,0.365,0.1,1.5,0.05,2.3,2.9,0.789,2.3,5.3,2.1,0.2,6.1,5.14,0.391,0.295,0.241,0.458,-0.3,0.5,0.2
0,1996,Ben Davis,43,23.5,1996,Forward,206,240,0.858333333,33,5.2,9.5,0.546,5.2,9.5,0.546,0,0,0,3.8,5.6,0.69,9.5,0.7,0.6,0.6,14.2,8.42,0.586,0.546,0,0.588,2.6,1.9,4.5
4.284269663,1996,Malik Rose,44,21.58333333,1996,Center,201,250,0.804,31,7.1,11.9,0.595,6.8,11.2,0.611,0.2,0.7,0,5.9,8.2,0.714,13.2,1.7,1.1,1,20.2,-5.06,0.641,0.605,0.057,0.693,4.7,4.4,9.1
